RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =          100

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  100  104     0     0  con    0  1.0D+00  4.2D-01  8.756D-03  1.375D+01
  101  105     0     0  con    0  1.0D+00  3.8D-01  7.427D-03  1.374D+01
  102  106     0     0  con    0  1.0D+00  3.2D-01  1.119D-02  1.372D+01
  103  107     0     0  con    0  1.0D+00  8.8D-01  1.924D-02  1.369D+01
  104  108     0     0  con    0  1.0D+00  1.7D+00  2.156D-02  1.365D+01
  105  109     0     0  con    0  1.0D+00  2.3D+00  1.507D-02  1.361D+01
  106  110     0     0  con    0  1.0D+00  1.1D+00  1.308D-02  1.359D+01
  107  111     0     0  con    0  1.0D+00  4.6D-01  1.374D-02  1.358D+01
  108  112     0     0  con    0  1.0D+00  2.6D-01  5.809D-03  1.357D+01
  109  113     0     0  con    0  1.0D+00  3.8D-01  6.793D-03  1.356D+01
  110  114     0     0  con    0  1.0D+00  8.3D-01  1.998D-02  1.354D+01
  111  115     0     0  con    0  1.0D+00  2.4D+00  4.521D-02  1.352D+01
  112  116     0     0  con    0  1.0D+00  7.2D-01  2.114D-02  1.347D+01
  113  117     0     0  con    0  1.0D+00  1.2D+00  1.329D-02  1.345D+01
  114  118     0     0  con    0  1.0D+00  5.0D-01  7.556D-03  1.344D+01
  115  119     0     0  con    0  1.0D+00  9.5D-01  1.076D-02  1.344D+01
  116  120     0     0  con    0  1.0D+00  6.7D-01  8.522D-03  1.343D+01
  117  121     0     0  con    0  1.0D+00  1.5D+00  1.137D-02  1.340D+01
  118  123     0     0  con    1  4.9D-01  1.1D+00  2.963D-02  1.338D+01
  119  124     0     0  con    0  1.0D+00  1.3D+00  2.957D-02  1.336D+01
  120  125     0     0  con    0  1.0D+00  6.5D-01  9.511D-03  1.334D+01
  121  126     0     0  con    0  1.0D+00  6.6D-01  6.546D-03  1.333D+01
  122  127     0     0  con    0  1.0D+00  1.4D-01  4.926D-03  1.332D+01
  123  128     0     0  con    0  1.0D+00  9.8D-01  1.043D-02  1.331D+01
  124  129     0     0  con    0  1.0D+00  1.8D+00  1.719D-02  1.328D+01
  125  130     0     0  con    0  1.0D+00  3.4D+00  2.046D-02  1.326D+01
  126  131     0     0  con    0  1.0D+00  1.4D+00  8.325D-03  1.322D+01
  127  132     0     0  con    0  1.0D+00  6.8D-01  5.906D-03  1.321D+01
  128  133     0     0  con    0  1.0D+00  2.8D-01  6.399D-03  1.320D+01
  129  134     0     0  con    0  1.0D+00  2.7D-01  6.679D-03  1.320D+01
  130  135     0     0  con    0  1.0D+00  1.1D+00  1.270D-02  1.317D+01
  131  136     0     0  con    0  1.0D+00  2.0D+00  1.425D-02  1.315D+01
  132  137     0     0  con    0  1.0D+00  2.7D+00  1.382D-02  1.312D+01
  133  138     0     0  con    0  1.0D+00  3.0D-01  1.239D-02  1.311D+01
  134  139     0     0  con    0  1.0D+00  4.7D-01  1.024D-02  1.310D+01
  135  140     0     0  con    0  1.0D+00  3.1D-01  8.765D-03  1.309D+01
  136  141     0     0  con    0  1.0D+00  1.4D+00  1.161D-02  1.307D+01
  137  142     0     0  con    0  1.0D+00  2.1D+00  1.702D-02  1.305D+01
  138  143     0     0  con    0  1.0D+00  1.5D+00  1.041D-02  1.303D+01
  139  144     0     0  con    0  1.0D+00  4.4D-01  1.009D-02  1.301D+01
  140  145     0     0  con    0  1.0D+00  3.4D-01  8.885D-03  1.301D+01
  141  146     0     0  con    0  1.0D+00  3.7D-01  7.557D-03  1.300D+01
  142  147     0     0  con    0  1.0D+00  1.2D+00  8.862D-03  1.298D+01
  143  148     0     0  con    0  1.0D+00  1.9D+00  1.912D-02  1.296D+01
  144  149     0     0  con    0  1.0D+00  9.4D-01  7.671D-03  1.294D+01
  145  150     0     0  con    0  1.0D+00  8.4D-01  6.789D-03  1.293D+01
  146  151     0     0  con    0  1.0D+00  7.9D-01  6.777D-03  1.292D+01
  147  152     0     0  con    0  1.0D+00  1.2D+00  9.469D-03  1.291D+01
  148  153     0     0  con    0  1.0D+00  8.3D-01  9.050D-03  1.290D+01
  149  154     0     0  con    0  1.0D+00  7.3D-01  8.154D-03  1.288D+01
  150  155     0     0  con    0  1.0D+00  9.0D-01  8.234D-03  1.287D+01
  151  156     0     0  con    0  1.0D+00  5.3D-01  6.800D-03  1.286D+01
